IRI	Label	Issue
http://purl.obolibrary.org/obo/BFO_0000063>	precedes	shares label with http://purl.obolibrary.org/obo/BFO_0000063
http://purl.obolibrary.org/obo/RO_0002478>	child nucleus of in male	shares label with http://purl.obolibrary.org/obo/RO_0002478
http://purl.obolibrary.org/obo/RO_0002254>	has developmental contribution from	shares label with http://purl.obolibrary.org/obo/RO_0002254
http://purl.obolibrary.org/obo/RO_0002258>	developmentally preceded by	shares label with http://purl.obolibrary.org/obo/RO_0002258
http://purl.obolibrary.org/obo/RO_0002351>	has member	shares label with http://purl.obolibrary.org/obo/RO_0002351
http://purl.obolibrary.org/obo/RO_0002352>	input of	shares label with http://purl.obolibrary.org/obo/RO_0002352
http://purl.obolibrary.org/obo/RO_0000086>	has quality	shares label with http://purl.obolibrary.org/obo/RO_0000086
http://purl.obolibrary.org/obo/RO_0002215>	capable of	shares label with http://purl.obolibrary.org/obo/RO_0002215
http://purl.obolibrary.org/obo/RO_0003000>	produces	shares label with http://purl.obolibrary.org/obo/RO_0003000
http://purl.obolibrary.org/obo/RO_0002221>	surrounds	shares label with http://purl.obolibrary.org/obo/RO_0002221
http://purl.obolibrary.org/obo/RO_0002223>	starts	shares label with http://purl.obolibrary.org/obo/RO_0002223
http://purl.obolibrary.org/obo/RO_0002005>	innervated_by	shares label with http://purl.obolibrary.org/obo/RO_0002005
http://purl.obolibrary.org/obo/RO_0002162>	in taxon	shares label with http://purl.obolibrary.org/obo/RO_0002162
http://purl.obolibrary.org/obo/RO_0002179>	drains	shares label with http://purl.obolibrary.org/obo/RO_0002179
http://purl.obolibrary.org/obo/RO_0002329>	part of structure that is capable of	shares label with http://purl.obolibrary.org/obo/RO_0002329
http://purl.obolibrary.org/obo/BFO_0000056>	participates in	shares label with http://purl.obolibrary.org/obo/RO_0000056
http://purl.obolibrary.org/obo/RO_0002353>	output of	shares label with http://purl.obolibrary.org/obo/RO_0002353
http://purl.obolibrary.org/obo/RO_0002473>	composed primarily of	shares label with http://purl.obolibrary.org/obo/RO_0002473
http://purl.obolibrary.org/obo/RO_0002170>	connected to	shares label with http://purl.obolibrary.org/obo/RO_0002170
http://purl.obolibrary.org/obo/RO_0002176>	connects	shares label with http://purl.obolibrary.org/obo/RO_0002176
http://purl.obolibrary.org/obo/BFO_0000067>	contains process	shares label with http://purl.obolibrary.org/obo/BFO_0000067
http://purl.obolibrary.org/obo/RO_0002178>	supplies	shares label with http://purl.obolibrary.org/obo/RO_0002178
http://purl.obolibrary.org/obo/RO_0002492>	existence ends during	shares label with http://purl.obolibrary.org/obo/RO_0002492
http://purl.obolibrary.org/obo/RO_0002387>	has potential to develop into	shares label with http://purl.obolibrary.org/obo/RO_0002387
http://purl.obolibrary.org/obo/BSPO_0015009>	immediately_anterior_to	not an RO property
http://purl.obolibrary.org/obo/RO_0002219>	surrounded_by	not an RO property
http://purl.obolibrary.org/obo/RO_0001015>	location_of	not an RO property
http://purl.obolibrary.org/obo/RO_0002372>	has_muscle_origin	not an RO property
http://purl.obolibrary.org/obo/RO_0002158>	homologous_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001101>	in_deep_part_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#channels_into>	channels_into	not an RO property
http://purl.obolibrary.org/obo/uberon/core#proximally_connected_to>	proximally connected to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#protects>	protects	not an RO property
http://purl.obolibrary.org/obo/uberon/core#sexually_homologous_to>	sexually_homologous_to	not an RO property
http://purl.obolibrary.org/obo/RO_0002087>	immediately_preceded_by	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000120>	in_left_side_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#channels_from>	channels_from	not an RO property
http://purl.obolibrary.org/obo/uberon/core#extends_fibers_into>	extends_fibers_into	not an RO property
http://purl.obolibrary.org/obo/uberon/core#transitively_proximally_connected_to>	transitively proximally connected to	not an RO property
http://purl.obolibrary.org/obo/RO_0002220>	adjacent_to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#has_start>	has_start	not an RO property
http://purl.obolibrary.org/obo/RO_0002371>	attaches_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000099>	posterior_to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#trunk_part_of>	trunk_part_of	not an RO property
http://purl.obolibrary.org/obo/RO_0002000>	boundary of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#in_innermost_side_of>	in_innermost_side_of	not an RO property
http://purl.obolibrary.org/obo/RO_0002255>	developmentally_contributes_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015014>	immediately_superficial_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000096>	anterior_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015202>	aboral_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015101>	in_dorsal_side_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#site_of>	site_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001113>	preaxialmost_part_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#transitively_anteriorly_connected_to>	transitively anteriorly connected to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0005001>	intersects_midsagittal_plane_of	not an RO property
http://purl.obolibrary.org/obo/RO_0002202>	develops_from	not an RO property
http://purl.obolibrary.org/obo/RO_0002203>	develops_into	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000097>	distal_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000098>	dorsal_to	not an RO property
http://purl.obolibrary.org/obo/RO_0002285>	developmentally_replaces	not an RO property
http://purl.obolibrary.org/obo/uberon/core#indirectly_supplies>	indirectly_supplies	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015102>	in_ventral_side_of	not an RO property
http://purl.obolibrary.org/obo/RO_0001025>	located_in	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000126>	in_lateral_side_of	not an RO property
http://purl.obolibrary.org/obo/RO_0002002>	has boundary	not an RO property
http://purl.obolibrary.org/obo/BSPO_1000000>	preaxial_to	not an RO property
http://purl.obolibrary.org/obo/RO_0002380>	branching_part_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000108>	superficial_to	not an RO property
http://purl.obolibrary.org/obo/RO_0003001>	produced_by	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001114>	postaxial_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000107>	deep_to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#anastomoses_with>	anastomoses with	not an RO property
http://purl.obolibrary.org/obo/uberon/core#distally_connected_to>	distally connected to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#channel_for>	channel for	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000100>	proximal_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001106>	proximalmost_part_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#transitively_distally_connected_to>	transitively distally connected to	not an RO property
http://purl.obolibrary.org/obo/RO_0002322>	confers_advantage_in	not an RO property
http://purl.obolibrary.org/obo/RO_0002160>	only_in_taxon	not an RO property
http://purl.obolibrary.org/obo/uberon/core#anteriorly_connected_to>	anteriorly connected to	not an RO property
http://purl.obolibrary.org/obo/RO_0002226>	develops_in	not an RO property
http://purl.obolibrary.org/obo/RO_0002159>	serially_homologous_to	not an RO property
http://purl.obolibrary.org/obo/RO_0002150>	continuous_with	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015012>	immediately_posterior_to	not an RO property
http://purl.obolibrary.org/obo/RO_0002373>	has_muscle_insertion	not an RO property
http://purl.obolibrary.org/obo/uberon/core#in_central_side_of>	in_central_side_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#subdivision_of>	subdivision of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000102>	ventral_to	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000123>	in_anterior_side_of	not an RO property
http://purl.obolibrary.org/obo/RO_0002256>	developmentally_induced_by	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001108>	distalmost_part_of	not an RO property
http://purl.obolibrary.org/obo/RO_0002376>	tributary_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001107>	immediately_deep_to	not an RO property
http://purl.obolibrary.org/obo/BFO_0000062>	preceded_by	not an RO property
http://purl.obolibrary.org/obo/UBPROP_0000004>	obsolete provenance_notes	not an RO property
http://purl.obolibrary.org/obo/BSPO_0015201>	oral_to	not an RO property
http://purl.obolibrary.org/obo/uberon/core#layer_part_of>	layer part of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000121>	in_right_side_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#filtered_through>	filtered through	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000124>	in_proximal_side_of	not an RO property
http://purl.obolibrary.org/obo/RO_0002082>	simultaneous_with	not an RO property
http://purl.obolibrary.org/obo/RO_0002374>	has_fused_element	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001100>	in_superficial_part_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000122>	in_posterior_side_of	not an RO property
http://purl.obolibrary.org/obo/RO_0002568>	has_muscle_antagonist	not an RO property
http://purl.obolibrary.org/obo/uberon/core#transitively_connected_to>	transitively_connected to	not an RO property
http://purl.obolibrary.org/obo/RO_0002225>	develops_from_part_of	not an RO property
http://purl.obolibrary.org/obo/RO_0002207>	directly_develops_from	not an RO property
http://purl.obolibrary.org/obo/RO_0002177>	attaches_to_part_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0001115>	postaxialmost_part_of	not an RO property
http://purl.obolibrary.org/obo/BSPO_0000125>	in_distal_side_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#in_outermost_side_of>	in_outermost_side_of	not an RO property
http://purl.obolibrary.org/obo/uberon/core#posteriorly_connected_to>	posteriorly connected to	not an RO property
